"Date","Price","Open","High","Low","Vol.","Change %"
"07/17/2026","3,580","3,500","3,640","3,470","103.07M","2.29%"
"07/16/2026","3,500","3,460","3,540","3,460","49.34M","1.16%"
"07/15/2026","3,460","3,490","3,540","3,460","34.20M","-0.29%"
"07/14/2026","3,470","3,550","3,560","3,460","48.83M","-1.70%"
"07/13/2026","3,530","3,420","3,570","3,370","51.54M","3.22%"
"07/10/2026","3,420","3,430","3,450","3,380","29.34M","0.00%"
"07/09/2026","3,420","3,370","3,420","3,320","24.66M","1.18%"
"07/08/2026","3,380","3,430","3,450","3,380","55.49M","-2.59%"
"07/07/2026","3,470","3,300","3,470","3,290","60.89M","5.79%"
"07/06/2026","3,280","3,250","3,320","3,210","29.23M","0.92%"
"07/03/2026","3,250","3,210","3,290","3,210","28.68M","2.52%"
"07/02/2026","3,170","3,110","3,230","3,110","56.39M","2.26%"
"07/01/2026","3,100","3,160","3,180","3,090","68.36M","-1.90%"
"06/30/2026","3,160","3,250","3,270","3,160","68.05M","-3.07%"
"06/29/2026","3,260","3,340","3,350","3,260","30.13M","-1.81%"
"06/26/2026","3,320","3,330","3,370","3,230","75.39M","-0.90%"
"06/25/2026","3,350","3,320","3,430","3,300","51.65M","0.90%"
"06/24/2026","3,320","3,430","3,490","3,290","102.48M","-3.21%"
"06/23/2026","3,430","3,490","3,490","3,390","69.81M","-1.72%"
"06/22/2026","3,490","3,720","3,720","3,490","56.95M","-4.90%"
"06/19/2026","3,670","3,720","3,760","3,640","95.37M","-1.61%"
"06/18/2026","3,730","3,780","3,780","3,660","70.46M","-1.84%"
"06/17/2026","3,800","3,810","3,920","3,670","90.26M","0.00%"
"06/15/2026","3,800","3,650","3,830","3,650","110.83M","6.74%"
"06/12/2026","3,560","3,570","3,650","3,520","74.82M","1.71%"
"06/11/2026","3,500","3,490","3,620","3,400","135.48M","1.45%"
"06/10/2026","3,450","3,320","3,560","3,300","213.54M","5.50%"
"06/09/2026","3,270","3,000","3,350","2,990","182.15M","8.64%"
"06/08/2026","3,010","3,150","3,190","3,010","146.59M","-6.23%"
"06/05/2026","3,210","3,400","3,420","3,210","87.51M","-6.14%"
"06/04/2026","3,420","3,570","3,580","3,350","107.48M","-4.20%"
"06/03/2026","3,570","3,770","3,790","3,560","60.86M","-5.05%"
"06/02/2026","3,760","3,760","3,820","3,710","50.89M","1.62%"
"05/29/2026","3,700","3,820","3,850","3,700","160.25M","-3.65%"
"05/26/2026","3,840","3,890","3,890","3,810","25.82M","-1.29%"
"05/25/2026","3,890","3,810","3,930","3,800","56.97M","2.91%"
"05/22/2026","3,780","3,800","3,810","3,750","25.05M","-0.53%"
"05/21/2026","3,800","3,810","3,860","3,780","29.62M","0.00%"
"05/20/2026","3,800","3,830","3,880","3,770","54.49M","-0.26%"
"05/19/2026","3,810","3,810","3,880","3,770","42.43M","0.26%"
"05/18/2026","3,800","3,830","3,840","3,730","37.87M","-1.81%"
"05/13/2026","3,870","3,890","3,890","3,820","24.63M","-1.02%"
"05/12/2026","3,910","3,820","3,910","3,770","44.68M","2.36%"
"05/11/2026","3,820","3,890","3,890","3,800","31.60M","-1.04%"
"05/08/2026","3,860","3,980","3,990","3,860","58.94M","-3.02%"
"05/07/2026","3,980","3,880","3,990","3,860","56.08M","3.92%"
"05/06/2026","3,830","3,920","3,930","3,800","41.95M","-2.30%"
"05/05/2026","3,920","3,840","3,970","3,810","52.77M","2.08%"
"05/04/2026","3,840","3,780","3,860","3,760","39.29M","3.23%"
"04/30/2026","3,720","3,790","3,800","3,720","57.55M","-2.11%"
"04/29/2026","3,800","3,810","3,840","3,770","27.96M","0.26%"
"04/28/2026","3,790","3,750","3,790","3,680","31.60M","1.88%"
"04/27/2026","3,720","3,790","3,800","3,720","27.55M","-1.33%"
"04/24/2026","3,770","3,850","3,860","3,720","53.99M","-2.58%"
"04/23/2026","3,870","3,850","3,890","3,820","56.53M","1.04%"
"04/22/2026","3,830","3,750","3,840","3,740","58.90M","2.68%"
"04/21/2026","3,730","3,670","3,730","3,660","30.51M","1.63%"
"04/20/2026","3,670","3,710","3,730","3,660","36.95M","-1.08%"
"04/17/2026","3,710","3,690","3,740","3,690","22.71M","0.27%"
"04/16/2026","3,700","3,700","3,700","3,660","30.46M","0.82%"
"04/15/2026","3,670","3,770","3,790","3,660","57.71M","-1.87%"
"04/14/2026","3,740","3,740","3,780","3,710","51.37M","1.63%"
"04/13/2026","3,680","3,710","3,710","3,660","36.98M","-1.34%"
"04/10/2026","3,730","3,730","3,820","3,700","58.85M","0.54%"
"04/09/2026","3,710","3,760","3,770","3,680","55.09M","-1.85%"
"04/08/2026","3,780","3,650","3,800","3,630","112.85M","7.69%"
"04/07/2026","3,510","3,640","3,660","3,510","101.47M","-3.57%"
"04/06/2026","3,640","3,700","3,720","3,630","45.43M","-1.62%"
"04/02/2026","3,700","3,730","3,750","3,690","53.75M","-0.54%"
"04/01/2026","3,720","3,830","3,840","3,720","88.88M","-1.06%"
"03/31/2026","3,760","3,850","3,880","3,760","76.85M","-2.34%"
"03/30/2026","3,850","3,860","3,860","3,780","82.87M","-1.28%"
"03/27/2026","3,900","3,980","3,990","3,900","76.82M","-2.50%"
